LandWaterProtect,LandWaterManage,Livelihood,SpeciesManage,EducateAware,LawPolicy,WorkshopName,Justification,PARCA,TNC,EPA,ACJV,NBCI,Alabama,Florida,NorthCarolina,Virginia,Georgia,HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.", , , ,Priority, , ,Priority, , , ,031101020601,Upper Kettle Creek,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,78321.75566522061,128416119.50390625
 , , , , , ,,, , , ,Priority, , ,Priority, , , ,031101020203,Carlton Springs,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,72343.40494633566,118448447.16796875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031200010803,Lower Lost Creek,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,48616.669200265256,62839980.0078125
Yes,Yes,Yes, , , ,Karst/Sata Fe Basin,"Part of Okefenokee Extension. Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture",Priority,Priority, ,Priority, , ,Priority, , , ,031102060103,Lake Sampson,Suwannee,Suwannee,Santa Fe,59132.092092119696,120214044.171875
Yes,Yes,Yes, , , ,Okefenokee Extension and O to O,"Part of the Okefenokee Extension. Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Provides connectivity between Okefenokee/Osceola National Forest through Camp Blanding to Ocala National Forest.  Follows Satilla River north to ""Gods country"".  Complements priority areas north of Okefenokee and provides inland connectivity to the coast along St. Mary's river.",Priority,Priority,Priority,Priority,Priority, ,Priority, , , ,030801030901,Ates Creek,St. Johns,St. Johns,Lower St. Johns,53743.63696633614,112108346.85546875
Yes,Yes,Yes, , , ,Karst/Sata Fe Basin,"Part of the Okefenokee Extension, Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Provides connectivity between Okefenokee/Osceola National Forest through Camp Blanding to Ocala National Forest.  Follows Satilla River north to ""Gods country"".  Complements priority areas north of Okefenokee and provides inland connectivity to the coast along St. Mary's river. Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture.",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102060102,Alligator Creek-Sante Fe River,Suwannee,Suwannee,Santa Fe,51205.36502808334,87195844.67578125
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200030901,Highlog Lake,Ochlockonee,Ochlockonee,Lower Ochlockonee,55717.092847345884,100636497.41796875
 ,Yes,Yes, , , ,Karst/Sata Fe Basin,Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture,Priority,Priority, ,Priority, , ,Priority, , , ,031102060606,Ichetucknee River,Suwannee,Suwannee,Santa Fe,82992.66035560833,149662147.125
Yes,Yes,Yes, , , ,Karst/Sata Fe Basin,"Part of Okefenokee Extension. Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture",Priority,Priority, ,Priority, , ,Priority, , , ,031102060208,Fivemile Creek,Suwannee,Suwannee,Santa Fe,62762.7167374414,91463327.3125
 ,Yes,Yes,Yes, , ,Apalachicola Region,"SW of Tallahassee , this area provides connectivity. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200010703,Jump Creek,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,38843.66931238813,51625350.58203125
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050203,Old Grassy Lake,Suwannee,Suwannee,Lower Suwannee,46765.065605884054,85765644.1640625
Yes,Yes, , , , ,Okefenokee Extension,"Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes.", ,Priority,Priority,Priority, , ,Priority, , , ,030801030902,Greens Creek,St. Johns,St. Johns,Lower St. Johns,60374.02021129344,121294096.77734375
Yes,Yes,Yes,Yes, , ,Suwannee River Corridor,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050405,Pickel Lake,Suwannee,Suwannee,Lower Suwannee,65651.39561908727,170239564.328125
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Bay and Florida Big Bend,"Part of the Big Bend Area. Important coastal habitat. Important area for coastal to inland migration of communities and species. A key area for management and protection in response to sea level rise and an important area for economy for inshore/near-shore harvest (clams, scallops, oysters). A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries. Ecologically important area with species transitions on both sides", ,Priority, ,Priority, , ,Priority, , , ,031101020404,Pitts Creek-Regular Creek Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,85175.91470492618,153929142.51171875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031200031002,Middle Sopchoppy River,Ochlockonee,Ochlockonee,Lower Ochlockonee,59168.131630596814,112827441.3203125
 ,Yes,Yes, , , ,Karst/Sata Fe Basin,Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture, , , ,Priority, , ,Priority, , , ,031102060605,Ichetucknee Draw,Suwannee,Suwannee,Santa Fe,63801.07187111066,99668639.5625
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200030705,Telogia Creek,Ochlockonee,Ochlockonee,Lower Ochlockonee,44417.983090836555,63346080.171875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region and ACF Corridor,"SW of Tallahassee , this area provides connectivity. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Lower Flint, Spring Creek & Suwanee corridors.",Priority,Priority, ,Priority, , ,Priority, , , ,031300110601,Little Gully Creek,Apalachicola,Apalachicola,Apalachicola,41090.23782983546,56580876.09765625
Yes,Yes, , , , ,Okefenokee Extension,"Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes.", ,Priority,Priority,Priority, , ,Priority, , , ,030801030804,Clarks Creek,St. Johns,St. Johns,Lower St. Johns,82950.73526738238,227969631.4921875
 ,Yes,Yes,Yes, , ,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas.  There was a suggestion in the meeting notes to capture the entire Apalachicola/Flint HUC 6 basin, however, the group agreement during the workshop focused more specifically on this smaller portion of the HUC 6 basin",Priority,Priority,Priority, , , ,Priority, , , ,031300120602,Cypress Creek-Dead Lakes,Apalachicola,Apalachicola,Chipola,61040.20255854641,115471429.24023438
Yes,Yes,Yes,Yes,Yes,Yes,St Marks Refuge Connectivity,"Part of Big Bend Area and Apalachicola Region. Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries. The ""Forgotten Coast"" the area is characterized as a rural lifestyle. Cultural protection and potential policy recommendations on freezing land use.",Priority,Priority, ,Priority, , ,Priority, , , ,031200011003,East River,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,54914.44148002994,79635673.453125
 ,Yes,Yes,Yes, , ,Apalachicola Region,"SW of Tallahassee , this area provides connectivity. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031300130101,Washington Bay,Apalachicola,Apalachicola,New,38791.74944156833,61093913.64453125
 ,Yes,Yes, , , ,Karst/Sata Fe Basin,Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture,Priority,Priority, ,Priority, , ,Priority, , , ,031102060404,Lower Olustee Creek,Suwannee,Suwannee,Santa Fe,63338.39692481947,112434819.09375
Yes,Yes,Yes, , , ,Okefenokee Extension and O to O,"Part of the Okefenokee Extension. Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Provides connectivity between Okefenokee/Osceola National Forest through Camp Blanding to Ocala National Forest.  Follows Satilla River north to ""Gods country"".  Complements priority areas north of Okefenokee and provides inland connectivity to the coast along St. Mary's river.",Priority,Priority,Priority,Priority,Priority, ,Priority, , , ,030801030903,Upper South Fork of Black Creek,St. Johns,St. Johns,Lower St. Johns,81109.59647850123,134988751.390625
 , , , , , ,,, , , ,Priority, , ,Priority, , , ,031101020303,Spring Creek-Fenholloway River,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,65284.93880317522,128345239.96875
 , ,Yes, , , ,Okefenokee/Osceola/Eglin AFB Complex,"This is a large landscape containing longleaf pine, large swamps, and rivers (Suwanee and St. Marys).  Also this area ties the Gulf and Atlantic coasts together. There is a group of stakeholders that have done conservation planning in the Okefenokee/Osceola area and they should be consulted regarding management actions.",Priority,Priority, ,Priority, , ,Priority, , , ,031102050305,Allon Lake,Suwannee,Suwannee,Lower Suwannee,93497.1386069185,164294707.33203125
Yes,Yes,Yes,Yes,Yes,Yes,Big Bend Area and ACF Corridor,"Part of the ACF Corridor. Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Lower Flint, Spring Creek & Suwanee corridors",Priority,Priority, ,Priority, , ,Priority, , , ,031300110602,Big Gully Creek,Apalachicola,Apalachicola,Apalachicola,70496.10581702266,123367034.3203125
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031200010802,Middle Lost Creek,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,40103.65158378503,67037960.5078125
 , , , , , ,,, ,Priority, , , , ,Priority, , , ,031401010302,Middle Bear Creek-Ecofina Creek,Choctawhatchee-Escambia,Florida Panhandle Coastal,St. Andrew-St. Joseph Bays,56428.80465789688,85229060.32617188
 , , , , , ,,, , , ,Priority, , ,Priority, , , ,031101020202,Fenholloway River,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,65231.31876850442,130945144.80078125
 , , , , , ,,, , , , , , , , , , ,030801021102,Hatchet Creek,St. Johns,St. Johns,Oklawaha,71984.40186565765,100227829.97265625
 , , , , , ,,, , , , , , , , , , ,030801030504,Upper Etonia Creek,St. Johns,St. Johns,Lower St. Johns,60517.176312430354,136985874.0546875
 , , , , , ,,, , , , , , , , , , ,030801030503,Smith Lake,St. Johns,St. Johns,Lower St. Johns,48257.274125193064,85252078.75390625
 ,Yes,Yes, , , ,Karst/Sata Fe Basin,Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture, , , ,Priority, , ,Priority, , , ,031102060604,Cypress Lake-Ichetucknee River,Suwannee,Suwannee,Santa Fe,40910.35605710261,55596904.55078125
 ,Yes,Yes,Yes, , ,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas.  There was a suggestion in the meeting notes to capture the entire Apalachicola/Flint HUC 6 basin, however, the group agreement during the workshop focused more specifically on this smaller portion of the HUC 6 basin",Priority,Priority,Priority, , , ,Priority, , , ,031300120603,Upper Dead Lakes,Apalachicola,Apalachicola,Chipola,55257.10806214954,86713257.37304688
Yes,Yes,Yes,Yes, ,Yes,Osceola to Okefenokee,"Part of the Okefenokee Extension, Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Provides connectivity between Okefenokee/Osceola National Forest through Camp Blanding to Ocala National Forest.  Follows Satilla River north to ""Gods country"".  Complements priority areas north of Okefenokee and provides inland connectivity to the coast along St. Mary's river. Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture. Ecological connectivity, opportunities to protect species migration, native plants and animals and watersheds",Priority,Priority, ,Priority,Priority, ,Priority, , , ,031102060204,Water Oak Creek,Suwannee,Suwannee,Santa Fe,65016.50424037511,109454141.2265625
Yes,Yes,Yes,Yes,Yes, ,Apalachicola Region,"SW of Tallahassee , this area provides connectivity. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031200011001,Wakulla River,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,61975.00945193538,112266904.01171875
 ,Yes,Yes, , , ,Karst/Sata Fe Basin,Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture, , , ,Priority, , ,Priority, , , ,031102060403,Swift Creek-Olustee Creek,Suwannee,Suwannee,Santa Fe,50235.17645029493,87890460.23828125
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola National Forest,"Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. Important for connecting existing conservation lands to increase habitat resiliency by linking coastal to inland migration routes for improved species management. Vital to proactively address sea level rise.",Priority,Priority, ,Priority, , ,Priority, , , ,031200010702,Black Creek-Wakulla Springs,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,35680.260212840185,41362044.2109375
Yes,Yes,Yes,Yes,Yes,Yes,St Marks Refuge Connectivity,"Part of Big Bend Area and Apalachicola Region. Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries. The ""Forgotten Coast"" the area is characterized as a rural lifestyle. Cultural protection and potential policy recommendations on freezing land use.",Priority,Priority, ,Priority, , ,Priority, , , ,031200011002,Lower St. Marks River,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,86893.24944805822,118035745.8515625
Yes,Yes, ,Yes, , ,,, ,Priority, ,Priority, , ,Priority, , , ,031102050403,Lower Little River,Suwannee,Suwannee,Lower Suwannee,50007.6199122297,91083325.0625
Yes,Yes,Yes, , , ,Karst/Sata Fe Basin,"Part of Okefenokee Extension. Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture", ,Priority, ,Priority, , ,Priority, , , ,031102060206,McKinney Branch,Suwannee,Suwannee,Santa Fe,58690.368800012184,86611656.234375
Yes,Yes,Yes,Yes, , ,Apalachicola Region,"Part of the Tallahassee Greater Area, SW of Tallahassee this area provides connectivity. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries.", ,Priority, ,Priority, , ,Priority, , , ,031200011101,Featherbed Bay,Ochlockonee,Ochlockonee,Apalachee Bay-St. Marks,40282.34116935658,63943782.6640625
 ,Yes,Yes,Yes, , ,ACF Basin South West Extension,"This area extends from the ACF main stem into some of the tributary areas.  There was a suggestion in the meeting notes to capture the entire Apalachicola/Flint HUC 6 basin, however, the group agreement during the workshop focused more specifically on this smaller portion of the HUC 6 basin", ,Priority,Priority, , , ,Priority, , , ,031300120601,Old Camp Four Swamp,Apalachicola,Apalachicola,Chipola,66350.92362121833,143140309.86523438
 , , , , , ,,, ,Priority, ,Priority, , ,Priority, , , ,031101020401,Secotan Slough,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,54517.06406299257,72493444.046875
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the Big Bend area, this is an important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, ,Priority, , ,Priority, , , ,031101030505,Aucilla River-Apalachee Bay,Suwannee,Aucilla-Waccasassa,Aucilla,68467.19280978547,121100837.3828125
Yes,Yes,Yes,Yes,Yes,Yes,Florida Big Bend,"Part of Big Bend Area and Apalachicola Region. Important coastal habitat. Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs. A rich estuarine habitat with a dependency on freshwater flows and inputs. There is connectivity from coastal waters to inland freshwater and many threatened/endangered species. Concentration of working forests and fisheries. Ecologically important area with species transitions on both sides.",Priority,Priority, ,Priority, , ,Priority, , , ,031101020104,Smokehouse Creek-Lower Eocfina River Frontal,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,92897.72674862732,224725480.05859375
 , , , , , ,,, ,Priority, ,Priority, , ,Priority, , , ,031101020302,Rocky Creek-Spring Creek,Suwannee,Aucilla-Waccasassa,Econfina-Steinhatchee,65670.16888138595,123053318.1171875
Yes,Yes,Yes, , , ,Karst/Sata Fe Basin,"Part of Okefenokee Extension. Longleaf pine, Okefenokee, Pocosin, hardwoods, forested wetlands, cypress domes. Spring fed river with high biodiversity and vulnerable to threats from water withdrawal from Jacksonville and agriculture", ,Priority, ,Priority, , ,Priority, , , ,031102060207,Richard Creek,Suwannee,Suwannee,Santa Fe,62496.382853098236,92694827.390625
Yes,Yes,Yes,Yes,Yes,Yes,Apalachicola Region,"Part of the ACF basin main stem, Apalachicola, Chattahoochee, and Flint River. The policies and approach to water within this area may set precedence for other areas with similar issues across the Southeast.Concentration of private and working lands including Tall Timbers Land Conservancy, which has protected many easements within this area.Opportunity for coastal to inland connectivity to allow for inland migration due to sea level rise.  With land protection, this area can provide a secure corridor between St. Marks National Wildlife Refuge and Apalachicola National Forest, especially as sea level rise may inundate large portions of St. Marks NWR.  Includes Apalachicola/Apalachee Bay area and river system.  Area of economic concern in the inshore/near-shore area in relation to freshwater flow and inputs in to the Bay.  Management and policy issues are critical in this area and adjoining areas to the north, particularly in hydrology management.  River system provides coastal to inland connectivity.  Apalachicola National Forest selected to continue appropriate land/species mgmt - pinelands with Red Cockaded Woodpeckers and associated suite of birds, areas of pitcher plant bogs.",Priority,Priority, , , , ,Priority, , , ,031300110502,Iamonia Lake-Apalachicola River,Apalachicola,Apalachicola,Apalachicola,55713.89526923962,93086877.6953125
